2 108 -2
5 108 -2
17 108 2
22 108 2
39 108 1
42 108 1
56 108 1
62 108 1
65 108 2
70 108 2
82 108 -2
85 108 -2
99 108 -1
105 108 -1
116 108 -1
125 108 -1
135 108 1
138 108 1
147 108 -1
153 108 -1
200 108 1
206 108 1
212 108 -1
221 108 -1
3 109 -2
9 109 -2
23 109 1
26 109 1
33 109 2
43 109 2
60 109 1
63 109 1
71 109 1
74 109 1
98 109 -1
101 109 -1
129 109 2
139 109 2
146 109 -1
149 109 -1
163 109 -2
169 109 -2
180 109 -1
189 109 -1
204 109 1
207 109 1
228 109 -1
237 109 -1
4 110 -2
13 110 -2
24 110 1
30 110 1
44 110 1
47 110 1
49 110 2
64 110 2
72 110 1
78 110 1
114 110 -1
117 110 -1
140 110 1
143 110 1
179 110 -1
185 110 -1
193 110 2
208 110 2
210 110 -1
213 110 -1
227 110 -1
233 110 -1
244 110 -2
253 110 -2
258 107 -4
261 107 -4
273 107 4
278 107 4
295 107 2
298 107 2
312 107 2
318 107 2
321 107 4
326 107 4
338 107 -4
341 107 -4
355 107 -2
361 107 -2
372 107 -2
381 107 -2
391 107 2
394 107 2
403 107 -2
409 107 -2
456 107 2
462 107 2
468 107 -2
477 107 -2
275 109 1
281 109 1
290 109 -1
293 109 -1
323 109 1
329 109 1
343 109 -2
346 109 -2
358 109 2
363 109 -2
380 109 -1
383 109 -1
386 109 -1
389 109 -1
406 109 2
411 109 -2
423 109 2
426 109 2
440 109 1
446 109 1
476 109 -1
479 109 -1
488 109 1
494 109 1
276 110 1
285 110 1
306 110 -1
309 110 -1
324 110 1
333 110 1
344 110 -2
350 110 -2
364 110 -1
367 110 -1
374 110 2
384 110 -2
412 110 -1
415 110 -1
439 110 1
442 110 1
450 110 -1
453 110 -1
470 110 2
480 110 -2
487 110 1
490 110 1
504 110 2
510 110 2
258 111 -4
261 111 -4
273 111 4
278 111 4
295 111 2
298 111 2
312 111 2
318 111 2
321 111 4
326 111 4
338 111 -4
341 111 -4
355 111 -2
361 111 -2
372 111 -2
381 111 -2
391 111 2
394 111 2
403 111 -2
409 111 -2
456 111 2
462 111 2
468 111 -2
477 111 -2
259 112 -2
265 112 -2
279 112 1
282 112 1
289 112 2
299 112 2
316 112 1
319 112 1
327 112 1
330 112 1
354 112 -1
357 112 -1
385 112 2
395 112 2
402 112 -1
405 112 -1
419 112 -2
425 112 -2
436 112 -1
445 112 -1
460 112 1
463 112 1
484 112 -1
493 112 -1
260 113 -2
269 113 -2
280 113 1
286 113 1
300 113 1
303 113 1
305 113 2
320 113 2
328 113 1
334 113 1
370 113 -1
373 113 -1
396 113 1
399 113 1
435 113 -1
441 113 -1
449 113 2
464 113 2
466 113 -1
469 113 -1
483 113 -1
489 113 -1
500 113 -2
509 113 -2
515 107 -4
521 107 -4
535 107 2
538 107 2
545 107 4
555 107 4
572 107 2
575 107 2
583 107 2
586 107 2
610 107 -2
613 107 -2
641 107 4
651 107 4
658 107 -2
661 107 -2
675 107 -4
681 107 -4
692 107 -2
701 107 -2
716 107 2
719 107 2
740 107 -2
749 107 -2
531 108 -1
537 108 -1
546 108 1
549 108 1
579 108 -1
585 108 -1
599 108 2
602 108 2
614 108 -2
619 108 2
636 108 1
639 108 1
642 108 1
645 108 1
662 108 -2
667 108 2
679 108 -2
682 108 -2
696 108 -1
702 108 -1
732 108 1
735 108 1
744 108 -1
750 108 -1
548 110 1
557 110 1
563 110 -1
569 110 -1
616 110 -1
622 110 -1
